,MRP,SMB,HML,RF,INF,WMT_R
201101,1.99,-2.5,0.82,0.01,0.5,3.980532787
201102,3.49,1.53,1.27,0.01,0.5,-7.305794664
201103,0.46,2.54,-1.83,0.01,1,0.143509062
201104,2.9,-0.38,-2.43,0,0.6,5.620678151
201105,-1.27,-0.59,-2.12,0,0.5,1.098341003
201106,-1.75,-0.12,-0.42,0,-0.1,-3.764796103
201107,-2.35,-1.27,-0.89,0,0.1,-0.804993765
201108,-5.99,-3.05,-2.36,0.01,0.3,0.915663726
201109,-7.59,-3.31,-1.73,0,0.2,-2.424282629
201110,11.35,3.28,0.11,0,-0.2,9.274814927
201111,-0.28,-0.16,-0.45,0,-0.1,3.840783088
201112,0.74,-0.59,1.63,0,-0.2,2.098339702
201201,5.05,2.04,-0.97,0,0.4,2.66747519
201202,4.42,-1.85,0.43,0,0.4,-3.719110614
201203,3.11,-0.64,1.14,0,0.8,4.288230289
201204,-0.85,-0.42,-0.78,0,0.3,-3.734930614
201205,-6.19,0.07,-1.07,0.01,-0.1,12.4897337
201206,3.89,0.67,0.62,0,-0.1,5.919769167
201207,0.79,-2.75,-0.02,0,-0.2,6.754677651
201208,2.55,0.47,1.3,0.01,0.6,-1.927268971
201209,2.73,0.51,1.6,0.01,0.4,1.648065143
201210,-1.76,-1.15,3.59,0.01,0,1.660725019
201211,0.78,0.63,-0.84,0.01,-0.5,-4.005749441
201212,1.18,1.48,3.51,0.01,-0.3,-4.736797392
201301,5.57,0.34,0.96,0,0.3,2.522113782
201302,1.29,-0.27,0.11,0,0.8,1.187900271
201303,4.03,0.81,-0.19,0,0.3,6.405978842
201304,1.55,-2.37,0.45,0,-0.1,3.852640296
201305,2.8,1.71,2.63,0,0.2,-3.11752465
201306,-1.2,1.33,0.03,0,0.2,-0.472739682
201307,5.65,1.87,0.57,0,0,4.63589516
201308,-2.71,0.27,-2.69,0,0.1,-5.797143353
201309,3.77,2.87,-1.22,0,0.1,1.339226338
201310,4.18,-1.52,1.25,0,-0.3,3.771251464
201311,3.13,1.29,0.32,0,-0.2,5.552717986
201312,2.81,-0.47,-0.02,0,0,-2.299184294
201401,-3.32,0.89,-2.07,0,0.4,-5.097145768
201402,4.65,0.34,-0.31,0,0.4,0.029324784
201403,0.43,-1.81,4.93,0,0.6,2.972860167
201404,-0.19,-4.18,1.17,0,0.3,4.299425296
201405,2.06,-1.88,-0.13,0,0.3,-3.095115824
201406,2.61,3.09,-0.7,0,0.2,-2.213819543
201407,-2.04,-4.3,0.04,0,0,-1.987598867
201408,4.24,0.4,-0.45,0,-0.2,3.286691341
201409,-1.97,-3.7,-1.35,0,0.1,1.28480277
201410,2.52,4.2,-1.8,0,-0.3,-0.260462547
201411,2.55,-2.06,-3.1,0,-0.5,14.77676355
201412,-0.06,2.49,2.27,0,-0.6,-1.350991615
201501,-3.11,-0.56,-3.59,0,-0.5,-1.046093908
201502,6.13,0.63,-1.86,0,0.4,-1.233557888
201503,-1.12,3.04,-0.38,0,0.6,-1.419375992
201504,0.59,-3.06,1.82,0,0.2,-5.100611811
201505,1.36,0.94,-1.15,0,0.5,-4.244467297
201506,-1.53,2.91,-0.79,0,0.4,-4.496660133
201507,1.54,-4.17,-4.13,0,0,1.478018819
201508,-6.04,0.33,2.77,0,-0.1,-9.452536064
201509,-3.07,-2.62,0.56,0,-0.2,0.164091869
201510,7.75,-1.89,-0.46,0,0,-11.72293632
201511,0.57,3.59,-0.42,0,-0.2,2.797328666
201512,-2.17,-2.85,-2.61,0.01,-0.3,5.057207547
201601,-5.77,-3.42,2.09,0.01,0.2,8.248228458
201602,-0.07,0.74,-0.57,0.02,0.1,-0.025484064
201603,6.96,0.82,1.19,0.02,0.4,4.003611163
201604,0.91,0.76,3.28,0.01,0.5,-2.366168992
201605,1.78,-0.17,-1.66,0.01,0.4,6.623607552
201606,-0.05,0.61,-1.48,0.02,0.3,3.164684243
201607,3.95,2.49,-1.32,0.02,-0.2,-0.07274387
201608,0.49,1.16,3.18,0.02,0.1,-1.424058161
201609,0.25,2.12,-1.24,0.02,0.2,0.955686091
201610,-2.02,-4.4,4.09,0.02,0.1,-2.916891772
201611,4.86,5.71,8.21,0.01,-0.2,0.590958337
201612,1.82,0.1,3.53,0.03,0,-1.15783805
201701,1.94,-1.18,-2.75,0.04,0.6,-3.447336487
201702,3.57,-2.05,-1.67,0.04,0.3,6.278503091
201703,0.17,1.14,-3.35,0.03,0.1,2.370471198
201704,1.09,0.73,-2.13,0.05,0.3,4.298276634
201705,1.06,-2.57,-3.78,0.06,0.1,5.253140809
201706,0.78,2.25,1.48,0.06,0.1,-3.716589139
201707,1.87,-1.5,-0.31,0.07,-0.1,5.694836016
201708,0.16,-1.67,-2.1,0.09,0.3,-1.78826171
201709,2.51,4.47,3.12,0.09,0.5,0.091105601
201710,2.25,-1.94,0.19,0.09,-0.1,11.73591403
201711,3.12,-0.54,-0.03,0.08,0,11.35899909
201712,1.06,-1.32,0.06,0.09,-0.1,2.100385088
201801,5.57,-3.12,-1.28,0.12,0.5,7.941099932
201802,-3.65,0.26,-1.04,0.11,0.5,-15.55600085
201803,-2.35,4.06,-0.2,0.11,0.2,-0.566547029
201804,0.29,1.13,0.54,0.14,0.4,-0.57201241
201805,2.65,5.26,-3.22,0.14,0.4,-6.107064904
201806,0.48,1.14,-2.33,0.14,0.2,3.770201072
201807,3.19,-2.22,0.45,0.16,0,4.17903209
201808,3.44,1.15,-4,0.16,0.1,8.056042032
201809,0.06,-2.29,-1.71,0.15,0.1,-2.036531741
201810,-7.68,-4.74,3.4,0.19,0.2,6.788434287
201811,1.69,-0.68,0.28,0.18,-0.3,-2.627218084
201812,-9.57,-2.37,-1.88,0.2,-0.3,-4.089448933
201901,8.4,2.88,-0.45,0.21,0.2,2.879291639
201902,3.4,2.06,-2.71,0.18,0.4,3.297080866
201903,1.1,-3.05,-4.12,0.19,0.6,-0.944840918
201904,3.97,-1.72,2.16,0.21,0.5,5.45913957
201905,-6.94,-1.31,-2.37,0.21,0.2,-0.852143758
201906,6.93,0.28,-0.7,0.18,0,8.928543039
201907,1.19,-1.93,0.47,0.19,0.2,-0.104210148
201908,-2.58,-2.39,-4.79,0.16,0,4.014084507
201909,1.43,-0.97,6.77,0.18,0.1,3.888952879
201910,2.06,0.29,-1.9,0.16,0.2,-1.213358572
201911,3.88,0.78,-1.99,0.12,-0.1,1.586858393
201912,2.77,0.73,1.78,0.14,-0.1,0.21018027
202001,-0.11,-3.13,-6.25,0.13,0.4,-3.651617414
202002,-8.13,1.07,-3.8,0.12,0.3,-5.954899389
202003,-13.39,-4.79,-13.88,0.13,-0.2,5.98267517
202004,13.65,2.45,-1.34,0,-0.7,6.965752255
202005,5.58,2.49,-4.85,0.01,0,2.525326562
202006,2.46,2.69,-2.23,0.01,0.5,-3.425701571
202007,5.77,-2.3,-1.44,0.01,0.5,8.007349831
202008,7.63,-0.28,-2.88,0.01,0.3,7.749793771
202009,-3.63,-0.03,-2.65,0.01,0.1,0.761040194
202010,-2.1,4.27,4.31,0.01,0,-0.822930218
202011,12.47,5.72,2.15,0.01,-0.1,10.12078102
202012,4.63,4.79,-1.34,0.01,0.1,-5.311649088
202101,-0.03,7.5,2.85,0.01,0.4,-2.541439837
202102,2.78,2.07,7.1,0,0.5,-7.519350365
202103,3.08,-2.28,7.27,0,0.7,4.978870701
202104,4.93,-3.2,-0.95,0,0.8,3.002373327
202105,0.29,-0.27,7.13,0,0.8,1.915574247
202106,2.75,1.6,-7.75,0,0.9,-0.705908693
202107,1.27,-3.94,-1.81,0,0.5,1.079433292
202108,2.91,-0.46,-0.1,0,0.2,4.280590487
202109,-4.37,0.67,5.1,0,0.3,-5.888138785
202110,6.65,-2.37,-0.45,0,0.8,7.199156763
202111,-1.55,-1.32,-0.41,0,0.5,-5.883551293
202112,3.1,-1.64,3.22,0.01,0.3,3.30204307
202201,-6.25,-5.96,12.8,0,0.8,-3.371178106
202202,-2.29,2.19,3.1,0,0.9,-3.329254558
202203,3.06,-1.66,-1.76,0.01,1.3,10.60915065
202204,-9.46,-1.38,6.17,0.01,0.6,2.736338484
202205,-0.34,-1.96,8.59,0.03,1.1,-15.61998953
